Customer ID,Recency,Frequency,Monetary,Recency Score,Frequency Score,Monetary Score,RFM Score,Customer Status
CUST_00001,40,12,174.6,4,5,5,45,Loyal Customers
CUST_00002,61,13,207.18,3,5,5,35,Loyal Customers
CUST_00003,83,5,79.71000000000001,3,1,2,31,Need Attention
CUST_00004,145,7,95.85,2,3,3,23,At Risk
CUST_00005,79,3,47.45,3,1,1,31,Need Attention
CUST_00007,81,8,128.88,3,4,4,34,Loyal Customers
CUST_00008,23,5,67.62,5,1,2,51,Newcomers
CUST_00009,76,6,99.71,3,2,3,32,Need Attention
CUST_00010,94,7,90.06,3,3,3,33,Need Attention
CUST_00011,179,8,104.4,1,4,3,14,Cannot Lose
CUST_00012,43,5,93.44999999999999,4,1,3,41,Newcomers
CUST_00013,174,8,123.08000000000001,2,4,4,24,Cannot Lose
CUST_00014,364,3,36.46,1,1,1,11,Hibernating
CUST_00015,38,4,65.03,4,1,2,41,Newcomers
CUST_00016,20,11,158.51,5,5,5,55,Champions
CUST_00017,55,9,140.82,4,4,5,44,Loyal Customers
CUST_00018,22,6,77.21,5,2,2,52,Potential Loyalists
CUST_00019,18,7,115.34,5,3,4,53,Potential Loyalists
CUST_00020,268,3,32.19,1,1,1,11,Hibernating
CUST_00021,78,6,71.91,3,2,2,32,Need Attention
CUST_00022,1,5,74.13,5,1,2,51,Newcomers
CUST_00023,71,4,71.82,3,1,2,31,Need Attention
CUST_00024,154,4,70.22,2,1,2,21,Hibernating
CUST_00025,238,4,69.84,1,1,2,11,Hibernating
CUST_00026,196,5,57.08,1,1,1,11,Hibernating
CUST_00027,16,9,154.09,5,4,5,54,Champions
CUST_00028,4,10,154.28,5,5,5,55,Champions
CUST_00029,36,9,148.73000000000002,4,4,5,44,Loyal Customers
CUST_00030,40,5,84.2,4,1,2,41,Newcomers
CUST_00031,2,11,130.38000000000002,5,5,4,55,Champions
CUST_00032,143,4,75.5,2,1,2,21,Hibernating
CUST_00033,63,8,113.6,3,4,4,34,Loyal Customers
CUST_00034,27,5,61.910000000000004,4,1,1,41,Newcomers
CUST_00035,197,3,51.989999999999995,1,1,1,11,Hibernating
CUST_00036,13,6,99.1,5,2,3,52,Potential Loyalists
CUST_00037,114,6,95.81,2,2,3,22,Hibernating
CUST_00038,15,13,181.68,5,5,5,55,Champions
CUST_00039,96,9,144.31,3,4,5,34,Loyal Customers
CUST_00040,384,3,39.98,1,1,1,11,Hibernating
CUST_00041,14,7,76.44,5,3,2,53,Potential Loyalists
CUST_00042,232,5,87.18,1,1,3,11,Hibernating
CUST_00043,15,6,99.82,5,2,3,52,Potential Loyalists
CUST_00044,2,14,170.33999999999997,5,5,5,55,Champions
CUST_00045,523,4,38.53,1,1,1,11,Hibernating
CUST_00046,33,6,84.66999999999999,4,2,2,42,Potential Loyalists
CUST_00047,311,3,57.120000000000005,1,1,1,11,Hibernating
CUST_00048,458,1,23.76,1,1,1,11,Hibernating
CUST_00049,20,8,107.24,5,4,4,54,Champions
CUST_00050,34,7,88.24000000000001,4,3,3,43,Potential Loyalists
CUST_00051,52,9,110.48,4,4,4,44,Loyal Customers
CUST_00052,185,7,71.76,1,3,2,13,At Risk
CUST_00053,59,8,111.97000000000001,3,4,4,34,Loyal Customers
CUST_00054,157,5,45.489999999999995,2,1,1,21,Hibernating
CUST_00055,69,6,106.28,3,2,4,32,Need Attention
CUST_00056,84,6,89.38,3,2,3,32,Need Attention
CUST_00057,583,2,31.09,1,1,1,11,Hibernating
CUST_00058,56,10,128.49,4,5,4,45,Loyal Customers
CUST_00059,51,10,199.93,4,5,5,45,Loyal Customers
CUST_00060,81,10,127.77000000000001,3,5,4,35,Loyal Customers
CUST_00061,155,5,93.57,2,1,3,21,Hibernating
CUST_00062,221,6,64.99000000000001,1,2,2,12,Hibernating
CUST_00063,113,11,172.26999999999998,2,5,5,25,Cannot Lose
CUST_00064,53,6,68.73,4,2,2,42,Potential Loyalists
CUST_00065,19,11,171.95,5,5,5,55,Champions
CUST_00066,78,5,97.53999999999999,3,1,3,31,Need Attention
CUST_00067,55,8,116.88,4,4,4,44,Loyal Customers
CUST_00068,142,4,59.660000000000004,2,1,1,21,Hibernating
CUST_00069,81,7,111.83,3,3,4,33,Need Attention
CUST_00070,71,5,80.01,3,2,2,32,Need Attention
CUST_00071,65,11,202.58,3,5,5,35,Loyal Customers
CUST_00072,155,9,147.29999999999998,2,4,5,24,Cannot Lose
CUST_00073,170,5,98.29,2,2,3,22,Hibernating
CUST_00074,1,6,94.81,5,2,3,52,Potential Loyalists
CUST_00075,94,7,133.81,3,3,5,33,Need Attention
CUST_00076,130,5,58.57,2,2,1,22,Hibernating
CUST_00077,211,3,39.3,1,1,1,11,Hibernating
CUST_00078,46,3,61.50999999999999,4,1,1,41,Newcomers
CUST_00079,23,7,131.08,5,3,4,53,Potential Loyalists
CUST_00080,53,4,48.1,4,1,1,41,Newcomers
CUST_00081,17,7,107.45,5,3,4,53,Potential Loyalists
CUST_00082,36,7,103.96000000000001,4,3,3,43,Potential Loyalists
CUST_00083,41,3,63.739999999999995,4,1,1,41,Newcomers
CUST_00084,28,7,111.68,4,3,4,43,Potential Loyalists
CUST_00085,364,6,93.58,1,2,3,12,Hibernating
CUST_00086,32,5,73.09,4,2,2,42,Potential Loyalists
CUST_00087,150,5,83.78,2,2,2,22,Hibernating
CUST_00088,258,4,64.75,1,1,2,11,Hibernating
CUST_00089,236,4,51.370000000000005,1,1,1,11,Hibernating
CUST_00090,33,9,152.17000000000002,4,4,5,44,Loyal Customers
CUST_00091,223,8,130.47,1,4,4,14,Cannot Lose
CUST_00092,64,9,101.86,3,4,3,34,Loyal Customers
CUST_00093,90,11,173.07999999999998,3,5,5,35,Loyal Customers
CUST_00094,200,4,52.29,1,1,1,11,Hibernating
CUST_00095,86,6,64.69999999999999,3,2,2,32,Need Attention
CUST_00096,437,5,88.89,1,2,3,12,Hibernating
CUST_00097,168,3,24.369999999999997,2,1,1,21,Hibernating
CUST_00098,3,7,97.65,5,3,3,53,Potential Loyalists
CUST_00099,68,7,119.39,3,3,4,33,Need Attention
CUST_00100,377,5,67.72,1,2,2,12,Hibernating
CUST_00101,78,5,55.4,3,2,1,32,Need Attention
CUST_00102,87,6,109.19000000000001,3,2,4,32,Need Attention
CUST_00103,3,8,136.23,5,4,5,54,Champions
CUST_00104,257,8,145.42000000000002,1,4,5,14,Cannot Lose
CUST_00105,31,7,80.95,4,3,2,43,Potential Loyalists
CUST_00106,186,8,125.73999999999998,1,4,4,14,Cannot Lose
CUST_00107,3,3,54.95,5,1,1,51,Newcomers
CUST_00108,66,11,161.2,3,5,5,35,Loyal Customers
CUST_00109,263,4,55.44,1,1,1,11,Hibernating
CUST_00110,3,9,119.25,5,4,4,54,Champions
CUST_00111,335,6,74.14,1,2,2,12,Hibernating
CUST_00112,266,6,97.24000000000001,1,2,3,12,Hibernating
CUST_00113,60,7,102.00000000000001,3,3,3,33,Need Attention
CUST_00114,227,8,135.34,1,4,5,14,Cannot Lose
CUST_00115,17,5,81.21000000000001,5,2,2,52,Potential Loyalists
CUST_00116,20,7,114.19999999999999,5,3,4,53,Potential Loyalists
CUST_00117,123,5,79.66999999999999,2,2,2,22,Hibernating
CUST_00118,46,8,114.89,4,4,4,44,Loyal Customers
CUST_00119,30,7,94.1,4,3,3,43,Potential Loyalists
CUST_00120,2,15,187.81000000000003,5,5,5,55,Champions
CUST_00121,55,10,175.76999999999998,4,5,5,45,Loyal Customers
CUST_00122,23,12,182.9,5,5,5,55,Champions
CUST_00123,32,5,114.2,4,2,4,42,Potential Loyalists
CUST_00124,229,6,88.05,1,2,3,12,Hibernating
CUST_00125,3,8,107.21000000000001,5,4,4,54,Champions
CUST_00126,43,10,140.79,4,5,5,45,Loyal Customers
CUST_00127,216,8,128.31,1,4,4,14,Cannot Lose
CUST_00128,122,11,156.07000000000002,2,5,5,25,Cannot Lose
CUST_00129,21,4,73.69999999999999,5,1,2,51,Newcomers
CUST_00130,62,10,131.60999999999999,3,5,4,35,Loyal Customers
CUST_00131,177,4,45.36,1,1,1,11,Hibernating
CUST_00132,369,4,82.83,1,1,2,11,Hibernating
CUST_00133,232,9,120.08,1,4,4,14,Cannot Lose
CUST_00134,170,6,74.37,2,2,2,22,Hibernating
CUST_00135,54,6,115.05000000000001,4,2,4,42,Potential Loyalists
CUST_00136,109,4,53.66,2,1,1,21,Hibernating
CUST_00137,33,7,89.96999999999998,4,3,3,43,Potential Loyalists
CUST_00138,139,6,73.95,2,2,2,22,Hibernating
CUST_00139,84,5,84.95,3,2,2,32,Need Attention
CUST_00140,91,7,111.7,3,3,4,33,Need Attention
CUST_00141,42,5,75.41000000000001,4,2,2,42,Potential Loyalists
CUST_00142,218,8,118.6,1,4,4,14,Cannot Lose
CUST_00143,20,8,156.88,5,4,5,54,Champions
CUST_00144,108,7,94.3,2,3,3,23,At Risk
CUST_00145,348,3,40.58,1,1,1,11,Hibernating
CUST_00146,212,7,117.82,1,3,4,13,At Risk
CUST_00147,59,5,79.47000000000001,3,2,2,32,Need Attention
CUST_00148,54,11,170.36999999999998,4,5,5,45,Loyal Customers
CUST_00149,110,10,137.27,2,5,5,25,Cannot Lose
CUST_00150,3,6,79.31,5,2,2,52,Potential Loyalists
CUST_00151,16,7,98.95,5,3,3,53,Potential Loyalists
CUST_00152,40,9,113.65,4,4,4,44,Loyal Customers
CUST_00153,12,10,151.43,5,5,5,55,Champions
CUST_00154,15,10,174.55,5,5,5,55,Champions
CUST_00155,199,10,131.79,1,5,4,15,Cannot Lose
CUST_00156,157,10,142.79999999999998,2,5,5,25,Cannot Lose
CUST_00157,13,10,161.92,5,5,5,55,Champions
CUST_00158,154,3,52.11,2,1,1,21,Hibernating
CUST_00159,68,6,77.32,3,2,2,32,Need Attention
CUST_00160,222,3,35.72,1,1,1,11,Hibernating
CUST_00161,113,5,99.25999999999999,2,2,3,22,Hibernating
CUST_00162,351,2,32.3,1,1,1,11,Hibernating
CUST_00163,33,8,98.67,4,4,3,44,Loyal Customers
CUST_00164,250,2,31.93,1,1,1,11,Hibernating
CUST_00165,1,7,116.39,5,3,4,53,Potential Loyalists
CUST_00166,24,8,112.80000000000001,5,4,4,54,Champions
CUST_00167,9,12,150.26000000000002,5,5,5,55,Champions
CUST_00168,3,3,38.4,5,1,1,51,Newcomers
CUST_00169,14,9,127.89999999999999,5,4,4,54,Champions
CUST_00170,55,8,103.06,4,4,3,44,Loyal Customers
CUST_00171,13,6,80.35,5,2,2,52,Potential Loyalists
CUST_00172,206,4,84.25,1,1,2,11,Hibernating
CUST_00173,165,9,142.45,2,4,5,24,Cannot Lose
CUST_00174,3,6,66.29,5,2,2,52,Potential Loyalists
CUST_00175,265,4,55.04,1,1,1,11,Hibernating
CUST_00176,22,4,63.2,5,1,1,51,Newcomers
CUST_00177,37,5,67.0,4,2,2,42,Potential Loyalists
CUST_00178,61,12,165.60000000000002,3,5,5,35,Loyal Customers
CUST_00179,129,8,86.45,2,4,3,24,Cannot Lose
CUST_00180,63,10,143.43,3,5,5,35,Loyal Customers
CUST_00181,627,1,13.09,1,1,1,11,Hibernating
CUST_00182,45,9,161.13,4,4,5,44,Loyal Customers
CUST_00183,38,6,87.36,4,2,3,42,Potential Loyalists
CUST_00184,8,6,93.21,5,2,3,52,Potential Loyalists
CUST_00185,332,10,143.96999999999997,1,5,5,15,Cannot Lose
CUST_00186,526,3,38.769999999999996,1,1,1,11,Hibernating
CUST_00187,7,6,91.50999999999999,5,2,3,52,Potential Loyalists
CUST_00188,41,6,88.9,4,2,3,42,Potential Loyalists
CUST_00189,67,8,107.76,3,4,4,34,Loyal Customers
CUST_00190,94,9,172.10999999999999,3,4,5,34,Loyal Customers
CUST_00191,210,5,58.75,1,2,1,12,Hibernating
CUST_00192,283,4,84.12,1,1,2,11,Hibernating
CUST_00193,103,5,83.28,2,2,2,22,Hibernating
CUST_00194,0,5,54.61,5,2,1,52,Potential Loyalists
CUST_00195,211,5,55.21,1,2,1,12,Hibernating
CUST_00196,91,8,112.28,3,4,4,34,Loyal Customers
CUST_00197,21,10,155.39,5,5,5,55,Champions
CUST_00198,3,6,119.27,5,2,4,52,Potential Loyalists
CUST_00199,131,5,69.50999999999999,2,2,2,22,Hibernating
CUST_00200,349,3,33.53,1,1,1,11,Hibernating
CUST_00201,81,9,123.96000000000001,3,4,4,34,Loyal Customers
CUST_00202,171,5,75.66,2,2,2,22,Hibernating
CUST_00203,274,4,67.11999999999999,1,1,2,11,Hibernating
CUST_00204,5,7,117.80000000000001,5,3,4,53,Potential Loyalists
CUST_00205,106,3,42.06,2,1,1,21,Hibernating
CUST_00206,49,5,59.44,4,2,1,42,Potential Loyalists
CUST_00207,110,6,79.98,2,2,2,22,Hibernating
CUST_00208,4,7,141.85,5,3,5,53,Potential Loyalists
CUST_00209,249,8,131.72000000000003,1,4,4,14,Cannot Lose
CUST_00210,76,7,92.81,3,3,3,33,Need Attention
CUST_00211,28,5,94.35999999999999,4,2,3,42,Potential Loyalists
CUST_00212,310,1,14.33,1,1,1,11,Hibernating
CUST_00213,176,6,110.93,1,2,4,12,Hibernating
CUST_00214,79,5,70.1,3,2,2,32,Need Attention
CUST_00215,0,9,121.69999999999999,5,4,4,54,Champions
CUST_00216,63,3,50.59,3,1,1,31,Need Attention
CUST_00217,7,10,137.95,5,5,5,55,Champions
CUST_00218,197,3,47.4,1,1,1,11,Hibernating
CUST_00219,10,6,112.10000000000001,5,2,4,52,Potential Loyalists
